RR41606_transposable_element	Bari1
RR51478_transposable_element	Bari1
FBti0060580	Idefix
FBti0059810	INE-1
FBti0059812	INE-1
FBti0059814	INE-1
FBti0019092	jockey
FBti0059816	INE-1
FBti0059818	INE-1
FBti0019093	X
FBti0059819	INE-1
FBti0060557	INE-1
FBti0060562	McClintock
FBti0060558	INE-1
FBti0060559	INE-1
FBti0019095	I
FBti0060560	INE-1
FBti0060561	INE-1
FBti0019096	blood
FBti0063763	INE-1
FBti0060585	INE-1
FBti0019098	roo
FBti0019099	Bari1
FBti0019100	roo
FBti0019101	roo
FBti0019102	blood
FBti0019103	gypsy
FBti0019104	F
FBti0019105	jockey
FBti0019106	blood
FBti0019107	mdg3
FBti0019108	mdg3
FBti0060681	roo
FBti0019109	opus
FBti0019110	copia
FBti0019749	297
FBti0019111	I
FBti0060718	transib2
FBti0019750	297
FBti0063012	GATE
FBti0019112	pogo
FBti0063010	INE-1
FBti0019113	copia
FBti0063022	1360
FBti0019114	mdg1
FBti0019115	springer
FBti0019116	pogo
FBti0063035	INE-1
FBti0019117	copia
FBti0063101	INE-1
FBti0063042	INE-1
FBti0063043	INE-1
FBti0019118	Juan
FBti0063046	FB
FBti0019119	Burdock
FBti0019120	mdg1
FBti0019121	opus
FBti0063077	G2
FBti0019122	jockey
FBti0019123	pogo
FBti0019124	S2
FBti0063078	INE-1
FBti0019125	Doc
FBti0063169	INE-1
FBti0063170	INE-1
FBti0063171	INE-1
FBti0063672	1360
FBti0019126	roo
FBti0063172	INE-1
FBti0063268	blood
FBti0019127	S
FBti0063673	INE-1
FBti0019128	Burdock
FBti0063674	roo
FBti0019752	roo
FBti0059767	roo
FBti0019129	diver
FBti0063690	1731
FBti0063689	mdg1
FBti0019130	HMS-Beagle
FBti0063691	INE-1
FBti0063692	INE-1
FBti0063710	INE-1
FBti0063711	INE-1
FBti0019131	roo
FBti0019132	Burdock
FBti0019133	BS
FBti0063776	INE-1
FBti0063733	INE-1
FBti0019134	pogo
FBti0019135	297
FBti0019136	copia
FBti0019137	Doc
FBti0063762	INE-1
FBti0019138	roo
FBti0019754	297
FBti0019139	Tirant
FBti0019755	G4
FBti0063777	INE-1
FBti0019140	roo
FBti0063798	INE-1
FBti0019141	Doc
FBti0063799	INE-1
FBti0019142	jockey
FBti0064242	INE-1
FBti0064243	INE-1
FBti0063899	INE-1
FBti0063900	INE-1
FBti0019143	HMS-Beagle
FBti0064247	INE-1
FBti0064250	H
FBti0019144	Rt1b
FBti0019145	blood
FBti0064249	INE-1
FBti0064262	INE-1
FBti0064263	INE-1
FBti0064264	INE-1
FBti0019146	opus
FBti0064280	INE-1
FBti0064281	INE-1
FBti0019147	Rt1b
FBti0019756	297
FBti0064297	INE-1
FBti0019148	roo
FBti0064298	INE-1
FBti0064312	Cr1a
FBti0064299	INE-1
FBti0064313	INE-1
FBti0059794	Doc
FBti0059795	1360
FBti0019149	G2
FBti0059820	transib2
FBti0019150	Tabor
FBti0059821	INE-1
FBti0019151	copia
FBti0019757	hopper
FBti0019152	blood
FBti0059852	Stalker2
FBti0059835	INE-1
FBti0019153	X
FBti0019758	297
FBti0059853	INE-1
FBti0060240	INE-1
FBti0060244	H
FBti0060242	INE-1
FBti0060243	INE-1
FBti0063921	INE-1
FBti0019154	HMS-Beagle
FBti0019155	pogo
FBti0019156	F
FBti0019157	Doc
FBti0060271	INE-1
FBti0019158	BS
FBti0019159	Quasimodo
FBti0019160	F
FBti0019161	H
FBti0060295	gypsy11
FBti0019162	H
FBti0019163	blood
FBti0060315	Ivk
FBti0060534	H
FBti0019164	X
FBti0060316	INE-1
FBti0019165	BS
FBti0060348	FB
FBti0019166	Doc
FBti0019167	Quasimodo
FBti0060329	INE-1
FBti0019168	jockey
FBti0019169	Transpac
FBti0060350	INE-1
FBti0060351	INE-1
FBti0019170	F
FBti0060352	INE-1
FBti0019171	G2
FBti0060353	INE-1
FBti0019172	Doc
FBti0060388	S
FBti0060369	INE-1
FBti0060368	jockey
FBti0019173	roo
FBti0059982	INE-1
FBti0059985	INE-1
FBti0059713	Doc
FBti0019760	hopper
FBti0060788	Tc1
FBti0019174	jockey
FBti0019175	roo
FBti0060789	INE-1
FBti0060790	INE-1
FBti0060791	INE-1
FBti0019176	copia
FBti0060844	INE-1
FBti0019177	jockey
FBti0019178	opus
FBti0060845	INE-1
FBti0060865	H
FBti0060866	G5A
FBti0019179	blood
FBti0060867	INE-1
FBti0019762	297
FBti0019763	H
FBti0059715	Quasimodo
FBti0019766	H
FBti0059716	Quasimodo
FBti0019768	H
FBti0060884	INE-1
FBti0019180	Tabor
FBti0019181	H
FBti0060900	INE-1
FBti0060901	INE-1
FBti0060902	INE-1
FBti0019182	H
FBti0060917	INE-1
FBti0060918	INE-1
FBti0019183	copia
FBti0019184	297
FBti0060935	BS3
FBti0060936	INE-1
FBti0019770	1360
FBti0060937	INE-1
FBti0019185	HMS-Beagle
FBti0061378	INE-1
FBti0060535	INE-1
FBti0061379	INE-1
FBti0061380	INE-1
FBti0061396	micropia
FBti0061398	Doc
FBti0061430	Doc3
FBti0061397	F
FBti0060536	Doc4
FBti0061399	Doc
FBti0061428	H
FBti0061431	INE-1
FBti0019186	Doc
FBti0019187	opus
FBti0019188	pogo
FBti0061433	INE-1
FBti0019189	H
FBti0019190	F
FBti0019771	1360
FBti0061482	INE-1
FBti0061506	1360
FBti0061483	INE-1
FBti0061507	INE-1
FBti0061508	INE-1
FBti0061509	INE-1
FBti0019191	F
FBti0019192	H
FBti0061526	INE-1
FBti0019193	copia
FBti0019194	pogo
FBti0061539	INE-1
FBti0061540	INE-1
FBti0019195	H
FBti0061541	INE-1
FBti0061542	INE-1
FBti0061543	INE-1
FBti0019196	roo
FBti0019197	Tc1
FBti0061563	INE-1
FBti0061564	INE-1
FBti0061574	INE-1
FBti0019198	Doc
FBti0061980	INE-1
FBti0019199	Doc
FBti0061981	INE-1
FBti0019200	Doc
FBti0061996	INE-1
FBti0062509	INE-1
FBti0062510	INE-1
FBti0062511	INE-1
FBti0062512	INE-1
FBti0062513	INE-1
FBti0062514	INE-1
FBti0062033	hopper2
FBti0062012	INE-1
FBti0062013	INE-1
FBti0062014	INE-1
FBti0019201	297
FBti0062043	BS
FBti0059735	Doc
FBti0019773	blood
FBti0019202	X
FBti0062045	X
FBti0062046	INE-1
FBti0019203	Cr1a
FBti0019204	jockey
FBti0059737	roo
FBti0019776	opus
FBti0019778	Doc
FBti0062047	INE-1
FBti0019205	roo
FBti0019780	1360
FBti0019206	pogo
FBti0062084	INE-1
FBti0062085	INE-1
FBti0062086	INE-1
FBti0062087	INE-1
FBti0019781	G4
FBti0019207	flea
FBti0062116	INE-1
FBti0062645	Ivk
FBti0062117	INE-1
FBti0062119	INE-1
FBti0062121	INE-1
FBti0062122	INE-1
FBti0062123	INE-1
FBti0019782	G
FBti0062649	G6
FBti0019783	X
FBti0019784	BS
FBti0019785	G2
FBti0019786	G2
FBti0019787	G5
FBti0062148	BS
FBti0062642	Tc1-2
FBti0062124	INE-1
FBti0062115	X
FBti0060250	1360
FBti0060251	1360
FBti0019788	jockey2
FBti0062114	jockey
FBti0062647	DM88
FBti0062174	1360
FBti0019789	G
FBti0059669	G2
FBti0059670	G2
FBti0019791	pogo
FBti0062751	1360
FBti0019792	copia
FBti0019793	pogo
FBti0062752	1360
FBti0059745	copia
FBti0019795	pogo
FBti0062753	1360
FBti0019797	Helena
FBti0062754	1360
FBti0019798	invader3
FBti0019799	1360
FBti0062722	hopper
FBti0019800	hopper2
FBti0059700	invader4
FBti0059749	transib2
FBti0019805	S
FBti0019806	Ivk
FBti0062692	G4
FBti0060272	1360
FBti0019807	S2
FBti0062723	hopper
FBti0062795	invader3
FBti0059702	invader3
FBti0059747	gtwin
FBti0062780	invader2
FBti0059673	H
FBti0060252	H
FBti0059701	G2
FBti0019817	mdg3
FBti0062777	1360
FBti0062724	hopper
FBti0019818	hopper2
FBti0019819	hopper2
FBti0019820	G2
FBti0062749	hopper
FBti0062778	1360
FBti0019208	G2
FBti0062693	H
FBti0019209	transib2
FBti0062650	INE-1
